 Episode    Step   Epsilon     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
     811 1185000     0.010         -9.160       2902.090          0.003         -0.300         -0.291         52.214 2025-12-07T15:01:15
     813 1190000     0.010         -8.620       2921.120          0.003         -0.296         -0.287         52.490 2025-12-07T15:02:07
     814 1195000     0.010         -8.280       2933.250          0.003         -0.294         -0.285         52.091 2025-12-07T15:02:59
     816 1200000     0.010         -7.700       2948.710          0.003         -0.290         -0.281         51.539 2025-12-07T15:03:51
     818 1205000     0.010         -7.240       2969.850          0.003         -0.286         -0.278         52.177 2025-12-07T15:04:43
     819 1210000     0.010         -6.960       2981.110          0.003         -0.284         -0.276         51.588 2025-12-07T15:05:34
     821 1215000     0.010         -6.610       2996.080          0.003         -0.281         -0.272         51.993 2025-12-07T15:06:26
     822 1220000     0.010         -6.440       3010.890          0.003         -0.279         -0.270         53.082 2025-12-07T15:07:20
     824 1225000     0.010         -5.940       3011.870          0.003         -0.274         -0.265         51.915 2025-12-07T15:08:11
     826 1230000     0.010         -5.450       3033.640          0.003         -0.270         -0.261         51.896 2025-12-07T15:09:03
     827 1235000     0.010         -5.220       3036.650          0.003         -0.267         -0.259         51.524 2025-12-07T15:09:55
     829 1240000     0.010         -4.830       3041.510          0.003         -0.263         -0.254         51.831 2025-12-07T15:10:47
     832 1245000     0.010         -3.900       3022.350          0.003         -0.255         -0.246         54.027 2025-12-07T15:11:41
     834 1250000     0.010         -3.360       3024.090          0.003         -0.249         -0.241         54.597 2025-12-07T15:12:35
     836 1255000     0.010         -2.860       3022.210          0.003         -0.244         -0.235         54.120 2025-12-07T15:13:29
     838 1260000     0.010         -2.210       3022.010          0.003         -0.238         -0.230         54.261 2025-12-07T15:14:24
     840 1265000     0.010         -1.810       3018.400          0.003         -0.232         -0.224         54.157 2025-12-07T15:15:18
     842 1270000     0.010         -1.350       3025.540          0.003         -0.227         -0.218         53.891 2025-12-07T15:16:12
     844 1275000     0.010         -1.070       3008.430          0.003         -0.221         -0.212         54.155 2025-12-07T15:17:06
     846 1280000     0.010         -0.520       2995.610          0.003         -0.214         -0.206         54.463 2025-12-07T15:18:00
     848 1285000     0.010         -0.060       2992.750          0.003         -0.208         -0.200         54.296 2025-12-07T15:18:55
     851 1290000     0.010          0.580       2942.240          0.003         -0.199         -0.190         53.903 2025-12-07T15:19:49
     853 1295000     0.010          1.200       2923.960          0.003         -0.192         -0.184         51.978 2025-12-07T15:20:41
     856 1300000     0.010          1.870       2888.500          0.003         -0.182         -0.174         51.760 2025-12-07T15:21:32
     859 1305000     0.010          2.770       2850.660          0.003         -0.172         -0.164         51.806 2025-12-07T15:22:24
     861 1310000     0.010          3.340       2838.300          0.003         -0.165         -0.157         51.629 2025-12-07T15:23:16
     864 1315000     0.010          4.110       2809.570          0.003         -0.155         -0.147         52.092 2025-12-07T15:24:08
     866 1320000     0.010          4.750       2790.700          0.003         -0.147         -0.139         53.056 2025-12-07T15:25:01
     869 1325000     0.010          5.700       2782.770          0.003         -0.136         -0.128         51.764 2025-12-07T15:25:53
     871 1330000     0.010          6.280       2758.290          0.003         -0.129         -0.121         52.219 2025-12-07T15:26:45
     874 1335000     0.010          7.070       2723.180          0.003         -0.118         -0.110         51.956 2025-12-07T15:27:37
     877 1340000     0.010          7.980       2700.950          0.002         -0.106         -0.098         52.015 2025-12-07T15:28:29
     879 1345000     0.010          8.350       2675.380          0.002         -0.098         -0.090         53.474 2025-12-07T15:29:22
     881 1350000     0.010          8.870       2668.770          0.002         -0.090         -0.083         54.423 2025-12-07T15:30:17
